Visa Bulletin Month,Final Action Dates (EB-1 India),Dates for Filing (EB-1 India),Difference (Days & Months)
February 2022,Current,Current,Current
March 2022,Current,Current,Current
April 2022,Current,Current,Current
May 2022,Current,Current,Current
June 2022,Current,Current,Current
July 2022,Current,Current,Current
August 2022,Current,Current,Current
September 2022,Current,Current,Current
October 2022,Current,Current,Current
November 2022,Current,Current,Current
December 2022,Current,Current,Current
January 2023,01FEB22,01JUN22,120 days (~3.9 months)
February 2023,01FEB22,01JUN22,120 days (~3.9 months)
March 2023,01FEB22,01JUN22,120 days (~3.9 months)
April 2023,01FEB22,01JUN22,120 days (~3.9 months)
May 2023,01FEB22,01JUN22,120 days (~3.9 months)
June 2023,01FEB22,01JUN22,120 days (~3.9 months)
July 2023,01FEB22,01JUN22,120 days (~3.9 months)
August 2023,01JAN12,01JUN22,3804 days (~125.0 months)
September 2023,01JAN12,01JUN22,3804 days (~125.0 months)
October 2023,01JAN17,01JUL19,911 days (~29.9 months)
November 2023,01JAN17,01JUL19,911 days (~29.9 months)
December 2023,01JAN17,01JUL19,911 days (~29.9 months)
January 2024,01SEP20,01JAN21,122 days (~4.0 months)
February 2024,01SEP20,01JAN21,122 days (~4.0 months)
March 2024,01OCT20,01JAN21,92 days (~3.0 months)
April 2024,01MAR21,01APR21,31 days (~1.0 months)
May 2024,01MAR21,01APR21,31 days (~1.0 months)
June 2024,01MAR21,01APR21,31 days (~1.0 months)
July 2024,01FEB22,08FEB22,7 days (~0.2 months)
August 2024,01FEB22,08FEB22,7 days (~0.2 months)
September 2024,01FEB22,08FEB22,7 days (~0.2 months)
October 2024,01FEB22,15APR22,73 days (~2.4 months)
November 2024,01FEB22,15APR22,73 days (~2.4 months)
December 2024,01FEB22,15APR22,73 days (~2.4 months)
January 2025,01FEB22,15APR22,73 days (~2.4 months)
February 2025,01FEB22,15APR22,73 days (~2.4 months)
March 2025,01FEB22,15APR22,73 days (~2.4 months)
April 2025,15FEB22,15APR22,59 days (~1.9 months)
May 2025,15FEB22,15APR22,59 days (~1.9 months)
June 2025,15FEB22,15APR22,59 days (~1.9 months)
July 2025,15FEB22,15APR22,59 days (~1.9 months)
August 2025,15FEB22,15APR22,59 days (~1.9 months)
September 2025,15FEB22,15APR22,59 days (~1.9 months)
October 2025,15FEB22,15APR23,424 days (~13.9 months)
November 2025,15FEB22,15APR23,424 days (~13.9 months)
